scene,sequence,mps,density,frame_count,split
Andreasstrasse_15,AND_Lib_floor5_1,mps_AND_Lib_floor5_1_vrs,Low,1607,val
Andreasstrasse_15,AND_Lib_floor5_2_narrow_ail,mps_AND_Lib_floor5_2_narrow_ail_vrs,Low,2114,train
Andreasstrasse_15,AND_Lib_floor5_corridor,mps_AND_Lib_floor5_corridor_vrs,NO_Density,2350,val
Andreasstrasse_15,AND_lift_A_to_Lift_C,mps_AND_lift_A_to_Lift_C_vrs,Low,2807,train
Binzmuhlestrasse_14,BIN_Hrsaal1B01_to_restroom,mps_BIN_Hrsaal1B01_to_restroom_vrs,NO_Density,3311,train
ETH_Focus_Terra,ETH_focus_terra_2_challenging_light,mps_ETH_focus_terra_2_challenging_light_vrs,NO_Density,1703,val
ETH_Focus_Terra,ETH_focus_terra_entrance,mps_ETH_focus_terra_entrance_vrs,NO_Density,2855,train
ETH_HG,ETH_ground_floor,mps_ETH_ground_floor_vrs,Low,3501,train
ETH_Maschinenlaboratorium,ETH_Maschinen_lab_corridor,mps_ETH_Maschinen_lab_corridor_vrs,NO_Density,2589,train
ETH_Maschinenlaboratorium,ETH_Maschinen_lab_glass_wall,mps_ETH_Maschinen_lab_glass_wall_vrs,Low,2525,train
Habsburgstrasse,Habsburgstr_stairs_up_dark,mps_Habsburgstr_stairs_up_dark_vrs,NO_Density,1959,val
Habsburgstrasse,Habsburgstr_stairs_up_light,mps_Habsburgstr_stairs_up_light_vrs,NO_Density,4989,train
IMS_Labs,IMS_Kochspannungslabor,mps_IMS_Kochspannungslabor_vrs,NO_Density,1305,test
IMS_Labs,IMS_TE21_LEA_lab,mps_IMS_TE21_LEA_lab_vrs,NO_Density,2510,train
IMS_Labs,IMS_TE21_LEA_lab2,mps_IMS_TE21_LEA_lab2_vrs,NO_Density,1311,val
Kriegsstrasse94,Kriegsstrasse94_1_pedestrian,mps_Kriegsstrasse94_1_pedestrian_vrs,Low,1798,val
Kriegsstrasse94,Kriegsstrasse94_1pedestrian_same_direction,mps_Kriegsstrasse94_1pedestrian_same_direction_vrs,Low,1709,val
Kriegsstrasse94,Kriegsstrasse94_static,mps_Kriegsstrasse94_static_vrs,NO_Density,1623,test
Migros,Migris_low,mps_Migris_low_vrs,Medium,3027,val
Oerlikon_Bahnhof,Oerlikon_entrance_G7,mps_Oerlikon_entrance_G7_vrs,High,3751,train
TH_building,TH_entrance_printer,mps_TH_entrance_printer_vrs,Low,1615,val
TH_building,TH_printer_loop,mps_TH_printer_loop_vrs,NO_Density,7057,train
TS_buiding,TS_116_waiting_friend,mps_TS_116_waiting_friend_vrs,NO_Density,2522,train
TS_buiding,TS_entrance_cafe,mps_TS_entrance_cafe_vrs,Low,1284,test
TS_buiding,TS_stairs_up,mps_TS_stairs_up_vrs,NO_Density,1562,test
TS_exam,TS_exam_supervision_loop,mps_TS_exam_supervision_loop_vrs,Medium,2835,test
TS_exam,TS_towards_exam_room,mps_TS_towards_exam_room_vrs,Low,1860,train
UZH_HG,UZH_F_Floor_loop,mps_UZH_F_Floor_loop_vrs,Low,5698,train
UZH_museum,UZH_musium_1,mps_UZH_musium_1_vrs,Low,3358,train
UZH_museum,UZH_musium_dinasors,mps_UZH_musium_dinasors_vrs,Low,2301,train
UZH_museum,UZH_musium_under_ground_loop,mps_UZH_musium_under_ground_loop_vrs,Medium,3682,train
UZH_museum,UZH_musium_wooden_stairs,mps_UZH_musium_wooden_stairs_vrs,Medium,1241,val
UZH_museum,UZH_musium_wooden_staurs_up,mps_UZH_musium_wooden_staurs_up_vrs,Low,1021,test
Winterthur_HB,G6_exit,mps_G6_exit_vrs,High,2638,val
Winterthur_HB,G6_loop,mps_G6_loop_vrs,High,3817,train
Winterthur_HB,Getofftrain_pharmecy,mps_Getofftrain_pharmecy_vrs,High,5582,train
Zurich_Airport,Zurich_airpoit_glass_bridge_service_center,mps_Zurich_airpoit_glass_bridge_service_center_vrs,High,4165,train
Zurich_Airport,Zurich_airpoit_ochsner_sport,mps_Zurich_airpoit_ochsner_sport_vrs,High,2236,test
Zurich_Airport,Zurich_airpoit_ramp_checkin2,mps_Zurich_airpoit_ramp_checkin2_vrs,Medium,6624,train
Zurich_Airport,Zurich_airpoit_shop,mps_Zurich_airpoit_shop_vrs,Medium,3192,train
