file,data_quality_n_total_rows_scanned,data_quality_n_valid,data_quality_n_nan,data_quality_n_inf,data_quality_n_negative,distribution_min,distribution_max,distribution_mean,distribution_std,distribution_median,distribution_percentiles_p25,distribution_percentiles_p50,distribution_percentiles_p75,distribution_percentiles_p90,distribution_percentiles_p95,distribution_percentiles_p99,distribution_percentiles_p99.9,x_thr,lambda_factor,c_min,x_max,alpha,n_removed_outliers,n_kept,percentage_removed,confidence_min,confidence_max,confidence_mean,confidence_median,checkpoints_c_at_x_thr,checkpoints_c_at_25pct,checkpoints_c_at_50pct,checkpoints_c_at_75pct,checkpoints_c_at_x_max,confidence_distribution_confidence_min,confidence_distribution_confidence_max,confidence_distribution_confidence_mean,confidence_distribution_confidence_median,filtering_n_removed_outliers,filtering_n_kept,filtering_percentage_removed
OVERALL,47660233,47660233,0,0,0,7e-06,1.996196,0.01068042767482904,0.03400582456397212,0.0025032270116979,0.0005266633812786051,0.0025032270116979,0.008930575724112034,0.025050397617439213,0.04476868283395104,0.1173256943209079,0.4346641552844404,0.005,100.0,0.1,0.5,4.6516870565536275,36599.0,47623634.0,0.07679148358338911,0.10000279105118304,1.0,0.9709590488753098,0.999982100392387,1.0,0.5623413251903491,0.316227766016838,0.17782794100389232,0.10000000000000002,0.10000279105118304,1.0,0.9709590488753098,0.999982100392387,,,
ETH_Maschinen_lab_glass_wall_semidense_points.csv.gz,414600,414600,0,0,0,1.3e-05,1.927157,0.01023396169319826,0.039900211340499425,0.0016366139499064839,0.00038588594274866585,0.0016366139499064839,0.006895862919636059,0.022351814471834857,0.04272678922523608,0.12850737542093765,0.5439412020454668,,,,,,,,,,,,,,,,,,0.1000786444197754,1.0,0.9734608796174123,0.9998453390019042,478.0,414122.0,0.11529184756391703
Short_Loop_semidense_points.csv.gz,1899788,1899788,0,0,0,1.4e-05,1.98129,0.01644509114332757,0.04195929336147491,0.00517016927367194,0.0015645378336535739,0.00517016927367194,0.015614971658103063,0.04086916953450313,0.06672058763599273,0.1542591200029702,0.5283094961825906,,,,,,,,,,,,,,,,,,0.10011822267921629,1.0,0.9527059132586191,0.9992627473150933,2128.0,1897660.0,0.11201249823664536
Habsburgstr_stairs_up_light_semidense_points.csv.gz,548886,548886,0,0,0,2.8e-05,1.83859,0.011017943219539214,0.032415539721147274,0.002117389192375884,0.0005343494786601914,0.002117389192375884,0.008907548489773409,0.02752093624819879,0.04891104538817858,0.1270618404902663,0.3752734807457178,,,,,,,,,,,,,,,,,,0.10027855814018385,1.0,0.968710360817266,0.9999954162730177,287.0,548599.0,0.05228772459126303
G6_loop_semidense_points.csv.gz,1330985,1330985,0,0,0,1.8e-05,1.959997,0.015026692169333234,0.042747698866368866,0.0035634664768850006,0.000792719254780187,0.0035634664768850006,0.012823251065152362,0.03752821871001427,0.06743704931046114,0.15445722321045857,0.5510997977739628,,,,,,,,,,,,,,,,,,0.1000274487201056,1.0,0.9573355558867405,0.9999927404691513,1591.0,1329394.0,0.1195355319556569
AND_Lib_floor5_2_narrow_ail_semidense_points.csv.gz,1357049,1357049,0,0,0,2e-05,1.856581,0.010054523748958218,0.027195073013251917,0.0024192195538143423,0.0007837959448371427,0.0024192195538143423,0.008470326063930724,0.02531563388173678,0.04402410416907414,0.11067622583030294,0.2765191992186032,,,,,,,,,,,,,,,,,,0.10015548710372887,1.0,0.971727902721296,0.9999975594865548,431.0,1356618.0,0.031760091197886
Oerlikon_entrance_G7_semidense_points.csv.gz,1028218,1028218,0,0,0,1.1e-05,1.969542,0.010493552848714961,0.030685477936379164,0.0031417007884320565,0.0007426164446484182,0.0031417007884320565,0.009519310309091413,0.024909546515385156,0.043828996750828145,0.10150968222935335,0.3717710855075388,,,,,,,,,,,,,,,,,,0.10044989681145676,1.0,0.9714284155133736,0.9999720315862717,612.0,1027606.0,0.05952045188860728
IMS_TE21_LEA_lab_semidense_points.csv.gz,817056,817056,0,0,0,1.4e-05,1.962181,0.011901118318695413,0.04119187744153389,0.002258531695516437,0.0006281818425074534,0.002258531695516437,0.008824625374936867,0.02569429608866242,0.04745292643483584,0.1550533628731631,0.5449870278938139,,,,,,,,,,,,,,,,,,0.10009633629569933,1.0,0.9684247624861452,0.9999667082562419,938.0,816118.0,0.11480241256413269
TH_printer_loop_semidense_points.csv.gz,1889233,1889233,0,0,0,1e-05,1.953001,0.012764746387025844,0.03715672852795093,0.003086782943772124,0.0005544058040299336,0.003086782943772124,0.01107739741101509,0.030053873281105533,0.055410770318113284,0.13890575018716902,0.4408197360325133,,,,,,,,,,,,,,,,,,0.10003582440574355,1.0,0.963878434023155,0.9999884548398431,1538.0,1887695.0,0.08140869866236722
ETH_ground_floor_semidense_points.csv.gz,803876,803876,0,0,0,1.1e-05,1.986226,0.0063477885668934,0.027883455876525583,0.0007493163764724366,0.0001669815368844948,0.0007493163764724366,0.0041605824162417905,0.014508148661624495,0.028079175697084447,0.0786929345819398,0.3239074519585442,,,,,,,,,,,,,,,,,,0.10000558218026576,1.0,0.9838109895952195,0.9998387932189272,434.0,803442.0,0.05398842607566341
UZH_musium_1_semidense_points.csv.gz,785719,785719,0,0,0,1e-05,1.956042,0.009967130446126415,0.03573399523378765,0.0015444563770607796,0.0003498847173799217,0.0015444563770607796,0.00698380152445692,0.02237278734387425,0.044035589179263715,0.12459762731603727,0.4618421908913287,,,,,,,,,,,,,,,,,,0.10003535907147627,1.0,0.9731499972353351,0.999992287825945,684.0,785035.0,0.08705402313040667
Zurich_airpoit_towards_checkin1_semidense_points.csv.gz,1516517,1516517,0,0,0,1.2e-05,1.823473,0.0070970108597529745,0.024034697596731176,0.002037232312262119,0.0004227827835658911,0.002037232312262119,0.006920932711155374,0.015609223130264633,0.025195525931393434,0.07208455251215692,0.3160996382240698,,,,,,,,,,,,,,,,,,0.10003535907147627,1.0,0.9827626737537148,0.9999803112172916,680.0,1515837.0,0.04483958966500211
Zurich_airpoit_ramp_checkin2_semidense_points.csv.gz,1748718,1748718,0,0,0,1.5e-05,1.991032,0.011662302153348911,0.03855496929343772,0.002284651679036048,0.0005429731479677101,0.002284651679036048,0.00845622219767344,0.026346938520693333,0.05200283658333836,0.14579878939702426,0.469863127705639,,,,,,,,,,,,,,,,,,0.10006979965447763,1.0,0.9682755017706931,0.9999873002183581,1536.0,1747182.0,0.08783577455027054
TS_116_waiting_friend_semidense_points.csv.gz,503480,503480,0,0,0,2.2e-05,1.933334,0.014780406367680939,0.04596139067577077,0.003502502284983735,0.0007554057329157241,0.003502502284983735,0.01071154450828138,0.03058330081286484,0.06866772141455556,0.18130726633340788,0.5960189257957395,,,,,,,,,,,,,,,,,,0.1000190737357376,1.0,0.9601404622158679,0.999981621372936,717.0,502763.0,0.1424088345117979
Zurich_airpoit_glass_bridge_service_center_semidense_points.csv.gz,1724041,1724041,0,0,0,7e-06,1.973546,0.007842901854422255,0.03017971046477233,0.001844053463404591,0.00042235358058035125,0.001844053463404591,0.006968426232207197,0.01658719647314773,0.0300009353668243,0.08033558259501376,0.4307158967942044,,,,,,,,,,,,,,,,,,0.1001047177495607,1.0,0.9809369373005469,0.9999899732012735,1349.0,1722692.0,0.07824639901255248
TS_towards_exam_room_semidense_points.csv.gz,327470,327470,0,0,0,1.1e-05,1.900078,0.012980600818395577,0.04754402130322493,0.0020736967496717746,0.0005282900945705586,0.0020736967496717746,0.007831196101666594,0.027409999428409514,0.05949155326863351,0.16778824352429259,0.6571799077273573,,,,,,,,,,,,,,,,,,0.10015176003721386,1.0,0.9661490344166924,0.9999935437098174,526.0,326944.0,0.1606254008000733
Zurich_airpoit_checkin2_large_loop_semidense_points.csv.gz,4162204,4162204,0,0,0,1.1e-05,1.958501,0.007040640429685811,0.02077159465350252,0.0014165400268195058,0.00036857364334711405,0.0014165400268195058,0.006085769083022795,0.017725510038872173,0.03099922494531654,0.07821734001539843,0.21319491058885096,,,,,,,,,,,,,,,,,,0.10002651813165743,1.0,0.9810466181185967,0.9999922135400617,793.0,4161411.0,0.019052405888803144
Zurich_airpoit_shopping_semi_loop_semidense_points.csv.gz,3104791,3104791,0,0,0,1.3e-05,1.990808,0.007804353666639719,0.026891033875580055,0.0018156420472235978,0.00043389442096396024,0.0018156420472235978,0.006643705947112653,0.017876313972571195,0.03237795713106545,0.08251007988673245,0.3270609217425569,,,,,,,,,,,,,,,,,,0.10010658039016891,1.0,0.9799677485444043,0.9999601184318078,1512.0,3103279.0,0.04869893013732647
BIN_Hrsaal1B01_to_restroom_semidense_points.csv.gz,908012,908012,0,0,0,7e-06,1.889388,0.009462783474227212,0.03128542123029649,0.0016700260059609058,0.0005432684864799477,0.0016700260059609058,0.0065129366833439695,0.021319989478019424,0.04127450748615663,0.12781611666350928,0.3431090800949366,,,,,,,,,,,,,,,,,,0.10027902460573972,1.0,0.9741481258158977,0.9999966171571709,440.0,907572.0,0.048457509372122835
Kiko_loop_semidense_points.csv.gz,5597935,5597935,0,0,0,1e-05,1.987977,0.011887926772997544,0.02603449843108017,0.00416932649653612,0.0010334722562942357,0.00416932649653612,0.012385278240141288,0.03114292580803955,0.04918741858443951,0.10060300104115036,0.2759823908139543,,,,,,,,,,,,,,,,,,0.10004187394820002,1.0,0.9652645027723991,0.9999960965783878,1536.0,5596399.0,0.027438689445304386
UZH_musium_under_ground_loop_semidense_points.csv.gz,1056468,1056468,0,0,0,1.2e-05,1.952927,0.011757987630481945,0.03609269009668108,0.002529572575674864,0.00059469513804363,0.002529572575674864,0.009194354454190843,0.028169455688430777,0.051423949327204156,0.13601164498879686,0.43220774046264865,,,,,,,,,,,,,,,,,,0.10001256034379784,1.0,0.9673014916542481,0.9997885598273396,810.0,1055658.0,0.07667056645350356
Zurich_airpoit_towards_circle_semidense_points.csv.gz,1440973,1440973,0,0,0,1.7e-05,1.98049,0.009847439012389547,0.037310816768722464,0.0019282939342590464,0.0003979577495180458,0.0019282939342590464,0.007883840426916384,0.021495824718402886,0.040688384165355335,0.10650149489716294,0.5333785485634601,,,,,,,,,,,,,,,,,,0.10003349775605289,1.0,0.9745910274115461,0.9999976443582983,1590.0,1439383.0,0.11034210911654833
AND_lift_A_to_Lift_C_semidense_points.csv.gz,1448391,1448391,0,0,0,1.1e-05,1.976774,0.007766537883071629,0.028038251840088662,0.0010789925272277965,0.00025822736762560545,0.0010789925272277965,0.005736040773523572,0.017110480150056093,0.034283818738018515,0.09869411906783523,0.3424047352797137,,,,,,,,,,,,,,,,,,0.1001219484976657,1.0,0.9792386008067518,0.9999969401096447,665.0,1447726.0,0.04591301658184841
Getofftrain_pharmecy_semidense_points.csv.gz,2631453,2631453,0,0,0,1e-05,1.982055,0.016398582026355784,0.05193921350853132,0.004209977584828727,0.001278357343640363,0.004209977584828727,0.012865506782833864,0.03744799329988469,0.06502997136609719,0.18493816839240806,0.7439834922699416,,,,,,,,,,,,,,,,,,0.1000274487201056,1.0,0.9569897154332477,0.9999898179501926,6020.0,2625433.0,0.22877094897761807
G8_cafe_semidense_points.csv.gz,5319593,5319593,0,0,0,7e-06,1.995927,0.009864790794333323,0.02794085735765974,0.0030816258964060333,0.0006432209633771248,0.0030816258964060333,0.009847658872832881,0.023446072991353536,0.03826065287390607,0.09237801003387615,0.35597555949698484,,,,,,,,,,,,,,,,,,0.1000753857310859,1.0,0.9731891101572883,0.9999875728227605,2601.0,5316992.0,0.048894718073356366
ETH_focus_terra_entrance_semidense_points.csv.gz,456414,456414,0,0,0,1e-05,1.917432,0.009402443621361308,0.04094838535177102,0.0010940850604470532,0.0002469476434363137,0.0010940850604470532,0.005038254651717268,0.01726676054428824,0.039589483133968546,0.14195796708608463,0.5447372739927161,,,,,,,,,,,,,,,,,,0.10108973794108285,1.0,0.9764229466549947,0.9999967106954517,537.0,455877.0,0.117656338324416
UZH_F_Floor_loop_semidense_points.csv.gz,891733,891733,0,0,0,1e-05,1.984622,0.007578066471690519,0.028802303818448928,0.0008335575580446251,0.0002040029952015104,0.0008335575580446251,0.004583750865759479,0.01596146450492005,0.03460560932986137,0.10993312293254516,0.3131103562349543,,,,,,,,,,,,,,,,,,0.10000279105118304,1.0,0.9795130594468484,0.9999565479235121,423.0,891310.0,0.0474357234732818
Zurich_airpoit_shop_semidense_points.csv.gz,939434,939434,0,0,0,1.4e-05,1.996196,0.011075704179324998,0.03692760792632852,0.002724673321087788,0.0006000368381788983,0.002724673321087788,0.009094313942764042,0.02523836236806605,0.04615252330809729,0.11600739482619533,0.5045693448344416,,,,,,,,,,,,,,,,,,0.10018391054711873,1.0,0.9705742414051063,0.9999377057094097,952.0,938482.0,0.10133761392498036
ETH_Maschinen_lab_corridor_semidense_points.csv.gz,314331,314331,0,0,0,1.2e-05,1.940918,0.00934232800137435,0.041928165634760726,0.0011813275171156535,0.0002699591047648372,0.0011813275171156535,0.005873430179908944,0.01908967349532914,0.03778382838835296,0.12056656601443888,0.628549460016721,,,,,,,,,,,,,,,,,,0.1006594482287686,1.0,0.9768251785179455,0.9998448178102546,429.0,313902.0,0.13648033442453975
UZH_musium_dinasors_semidense_points.csv.gz,458570,458570,0,0,0,1.4e-05,1.980155,0.011251896297184724,0.04506039698479612,0.001697909116482068,0.000379351137586765,0.001697909116482068,0.006912011265249993,0.023340471293564168,0.047696890987685106,0.14804949730994135,0.6505889133473646,,,,,,,,,,,,,,,,,,0.10005769755814259,1.0,0.9713566638931144,0.9999924827288383,697.0,457873.0,0.15199424297271955
Zurich_airpoit_toward_gates_semidense_points.csv.gz,2234295,2234295,0,0,0,1.2e-05,1.977084,0.01262348883294283,0.044965160153468096,0.0016276391465578442,0.0003727600486129761,0.0016276391465578442,0.007793190173779398,0.028875594398889266,0.055922707589266596,0.17091532885908492,0.6167735772080071,,,,,,,,,,,,,,,,,,0.10002372641825794,1.0,0.9665461749303812,0.9999962162084342,3665.0,2230630.0,0.1640338451278815
